TempDiff,Date
5.0,07.1969
5.2,08.1969
5.2,09.1969
10.7,10.1969
10.6,11.1969
15.4,12.1969
13.4,01.1970
10.2,02.1970
12.4,03.1970
11.1,04.1970
2.4,05.1970
4.6,06.1970
2.7,07.1970
2.7,08.1970
8.5,09.1970
11.2,10.1970
13.1,11.1970
16.6,12.1970
17.9,01.1971
20.4,02.1971
11.5,03.1971
6.9,04.1971
6.7,05.1971
4.0,06.1971
6.4,07.1971
2.7,08.1971
6.3,09.1971
8.8,10.1971
13.1,11.1971
16.4,12.1971
18.1,01.1972
16.7,02.1972
14.2,03.1972
14.5,04.1972
8.7,05.1972
4.7,06.1972
6.0,07.1972
6.3,08.1972
9.8,09.1972
12.0,10.1972
10.3,11.1972
15.5,12.1972
15.1,01.1973
12.2,02.1973
11.5,03.1973
8.5,04.1973
9.8,05.1973
2.5,06.1973
3.5,07.1973
3.0,08.1973
8.3,09.1973
7.2,10.1973
13.1,11.1973
16.5,12.1973
18.7,01.1974
13.7,02.1974
14.9,03.1974
9.4,04.1974
7.5,05.1974
6.2,06.1974
1.6,07.1974
6.3,08.1974
6.8,09.1974
8.7,10.1974
10.6,11.1974
12.0,12.1974
15.5,01.1975
18.7,02.1975
13.4,03.1975
10.0,04.1975
8.4,05.1975
7.3,06.1975
4.4,07.1975
3.3,08.1975
9.8,09.1975
9.5,10.1975
11.7,11.1975
12.9,12.1975
12.9,01.1976
13.0,02.1976
13.1,03.1976
7.5,04.1976
8.3,05.1976
5.1,06.1976
3.7,07.1976
4.4,08.1976
6.3,09.1976
7.8,10.1976
11.2,11.1976
11.3,12.1976
10.3,01.1977
7.7,02.1977
7.1,03.1977
6.9,04.1977
8.1,05.1977
5.9,06.1977
3.6,07.1977
7.1,08.1977
8.4,09.1977
6.8,10.1977
10.3,11.1977
12.5,12.1977
13.4,01.1978
12.9,02.1978
10.5,03.1978
8.1,04.1978
8.1,05.1978
5.5,06.1978
3.4,07.1978
3.4,08.1978
3.9,09.1978
10.2,10.1978
12.7,11.1978
14.1,12.1978
18.7,01.1979
18.1,02.1979
9.7,03.1979
10.3,04.1979
5.6,05.1979
6.5,06.1979
4.1,07.1979
2.7,08.1979
4.3,09.1979
8.9,10.1979
11.1,11.1979
11.7,12.1979
14.2,01.1980
18.3,02.1980
12.7,03.1980
8.8,04.1980
11.5,05.1980
7.1,06.1980
1.6,07.1980
3.3,08.1980
5.1,09.1980
6.6,10.1980
8.0,11.1980
12.5,12.1980
10.4,01.1981
8.8,02.1981
8.1,03.1981
5.4,04.1981
8.0,05.1981
2.4,06.1981
2.4,07.1981
5.3,08.1981
4.3,09.1981
10.1,10.1981
10.4,11.1981
14.4,12.1981
19.1,01.1982
16.6,02.1982
13.9,03.1982
9.0,04.1982
7.2,05.1982
8.8,06.1982
3.1,07.1982
4.7,08.1982
6.2,09.1982
8.9,10.1982
12.6,11.1982
13.0,12.1982
11.8,01.1983
13.0,02.1983
11.2,03.1983
12.6,04.1983
9.1,05.1983
5.9,06.1983
1.9,07.1983
-0.1,08.1983
4.4,09.1983
9.3,10.1983
11.8,11.1983
18.4,12.1983
12.6,01.1984
9.6,02.1984
15.6,03.1984
11.9,04.1984
10.1,05.1984
4.8,06.1984
3.9,07.1984
3.0,08.1984
5.7,09.1984
8.8,10.1984
9.1,11.1984
15.3,12.1984
12.6,01.1985
13.8,02.1985
11.7,03.1985
7.2,04.1985
6.2,05.1985
6.1,06.1985
2.7,07.1985
10.0,08.1985
7.9,09.1985
10.1,10.1985
17.0,11.1985
13.6,12.1985
10.7,01.1986
13.4,02.1986
8.3,03.1986
8.5,04.1986
4.8,05.1986
2.0,06.1986
3.5,07.1986
7.5,08.1986
6.7,09.1986
8.1,10.1986
12.4,11.1986
10.2,12.1986
15.1,01.1987
8.6,02.1987
6.9,03.1987
7.6,04.1987
5.5,05.1987
3.1,06.1987
3.3,07.1987
7.8,08.1987
6.7,09.1987
10.8,10.1987
8.0,11.1987
12.4,12.1987
15.2,01.1988
13.0,02.1988
11.8,03.1988
10.6,04.1988
4.5,05.1988
1.8,06.1988
4.5,07.1988
4.8,08.1988
7.2,09.1988
8.9,10.1988
10.7,11.1988
10.6,12.1988
11.4,01.1989
14.7,02.1989
9.7,03.1989
6.9,04.1989
8.3,05.1989
5.9,06.1989
3.8,07.1989
5.2,08.1989
9.0,09.1989
8.3,10.1989
12.6,11.1989
13.8,12.1989
12.3,01.1990
15.2,02.1990
10.9,03.1990
9.7,04.1990
9.7,05.1990
2.3,06.1990
0.8,07.1990
3.8,08.1990
5.7,09.1990
8.1,10.1990
9.4,11.1990
13.8,12.1990
13.9,01.1991
9.1,02.1991
10.0,03.1991
8.5,04.1991
5.1,05.1991
1.8,06.1991
1.1,07.1991
2.1,08.1991
5.6,09.1991
8.6,10.1991
12.2,11.1991
11.1,12.1991
7.9,01.1992
9.4,02.1992
9.2,03.1992
9.4,04.1992
7.8,05.1992
8.2,06.1992
5.4,07.1992
6.4,08.1992
6.7,09.1992
10.4,10.1992
11.5,11.1992
16.5,12.1992
16.4,01.1993
16.8,02.1993
13.0,03.1993
10.8,04.1993
8.4,05.1993
7.2,06.1993
5.5,07.1993
6.5,08.1993
10.8,09.1993
8.5,10.1993
10.8,11.1993
11.7,12.1993
14.7,01.1994
14.7,02.1994
8.8,03.1994
11.2,04.1994
5.1,05.1994
4.8,06.1994
6.3,07.1994
5.0,08.1994
5.9,09.1994
6.8,10.1994
11.1,11.1994
11.9,12.1994
15.2,01.1995
11.9,02.1995
11.4,03.1995
11.9,04.1995
12.9,05.1995
7.6,06.1995
5.4,07.1995
4.6,08.1995
8.1,09.1995
8.6,10.1995
10.9,11.1995
13.9,12.1995
14.8,01.1996
14.1,02.1996
12.7,03.1996
9.0,04.1996
10.2,05.1996
5.2,06.1996
7.0,07.1996
5.1,08.1996
6.9,09.1996
8.5,10.1996
14.0,11.1996
15.2,12.1996
13.1,01.1997
11.9,02.1997
10.9,03.1997
9.3,04.1997
7.1,05.1997
4.9,06.1997
5.6,07.1997
6.3,08.1997
7.6,09.1997
8.0,10.1997
10.1,11.1997
11.0,12.1997
13.9,01.1998
10.0,02.1998
14.3,03.1998
9.5,04.1998
8.5,05.1998
7.1,06.1998
9.8,07.1998
6.1,08.1998
5.1,09.1998
8.7,10.1998
8.1,11.1998
11.1,12.1998
15.8,01.1999
10.2,02.1999
11.8,03.1999
12.0,04.1999
8.6,05.1999
9.1,06.1999
3.8,07.1999
9.0,08.1999
11.9,09.1999
9.9,10.1999
9.6,11.1999
13.8,12.1999
16.8,01.2000
15.3,02.2000
12.4,03.2000
10.2,04.2000
7.7,05.2000
7.5,06.2000
7.0,07.2000
3.6,08.2000
6.0,09.2000
8.0,10.2000
9.7,11.2000
15.5,12.2000
10.3,01.2001
16.6,02.2001
9.0,03.2001
7.6,04.2001
6.7,05.2001
4.9,06.2001
0.4,07.2001
2.2,08.2001
4.6,09.2001
5.9,10.2001
8.8,11.2001
10.4,12.2001
11.5,01.2002
9.4,02.2002
12.8,03.2002
10.2,04.2002
8.3,05.2002
3.6,06.2002
1.6,07.2002
4.4,08.2002
5.9,09.2002
12.6,10.2002
9.6,11.2002
12.1,12.2002
11.5,01.2003
12.3,02.2003
10.7,03.2003
8.8,04.2003
10.9,05.2003
6.4,06.2003
2.0,07.2003
4.4,08.2003
8.5,09.2003
10.5,10.2003
13.6,11.2003
12.4,12.2003
16.4,01.2004
12.1,02.2004
11.5,03.2004
9.4,04.2004
5.0,05.2004
5.8,06.2004
6.2,07.2004
6.1,08.2004
4.0,09.2004
11.2,10.2004
10.0,11.2004
11.2,12.2004
18.2,01.2005
11.8,02.2005
10.3,03.2005
8.6,04.2005
6.1,05.2005
6.1,06.2005
5.2,07.2005
8.1,08.2005
9.2,09.2005
8.8,10.2005
12.9,11.2005
15.4,12.2005
11.8,01.2006
13.1,02.2006
13.1,03.2006
8.9,04.2006
10.1,05.2006
7.1,06.2006
4.1,07.2006
8.1,08.2006
9.7,09.2006
10.2,10.2006
9.2,11.2006
11.0,12.2006
12.4,01.2007
15.1,02.2007
9.1,03.2007
9.1,04.2007
6.4,05.2007
7.4,06.2007
4.2,07.2007
4.8,08.2007
7.6,09.2007
10.7,10.2007
15.2,11.2007
18.6,12.2007
14.3,01.2008
19.2,02.2008
15.4,03.2008
12.6,04.2008
10.9,05.2008
9.7,06.2008
8.8,07.2008
8.9,08.2008
10.6,09.2008
12.0,10.2008
13.5,11.2008
15.9,12.2008
15.9,01.2009
13.4,02.2009
11.1,03.2009
9.8,04.2009
7.7,05.2009
4.8,06.2009
8.3,07.2009
8.9,08.2009
7.6,09.2009
11.5,10.2009
9.2,11.2009
12.8,12.2009
15.4,01.2010
9.3,02.2010
8.6,03.2010
5.8,04.2010
11.2,05.2010
5.8,06.2010
3.2,07.2010
6.3,08.2010
5.6,09.2010
6.5,10.2010
12.0,11.2010
15.1,12.2010
13.9,01.2011
16.8,02.2011
13.3,03.2011
12.0,04.2011
6.4,05.2011
5.4,06.2011
2.1,07.2011
8.5,08.2011
10.7,09.2011
7.9,10.2011
12.8,11.2011
10.9,12.2011
12.5,01.2012
11.9,02.2012
6.4,03.2012
7.8,04.2012
5.1,05.2012
4.5,06.2012
-0.5,07.2012
6.4,08.2012
8.2,09.2012
8.6,10.2012
9.8,11.2012
13.6,12.2012
13.1,01.2013
16.3,02.2013
13.1,03.2013
11.7,04.2013
7.3,05.2013
4.5,06.2013
4.9,07.2013
9.0,08.2013
7.3,09.2013
9.8,10.2013
9.6,11.2013
12.9,12.2013
13.5,01.2014
15.9,02.2014
12.2,03.2014
9.4,04.2014
4.4,05.2014
6.1,06.2014
6.8,07.2014
5.2,08.2014
7.0,09.2014
8.9,10.2014
10.8,11.2014
11.9,12.2014
10.4,01.2015
13.4,02.2015
6.6,03.2015
5.5,04.2015
5.8,05.2015
2.1,06.2015
4.9,07.2015
10.3,08.2015
6.2,09.2015
8.4,10.2015
8.7,11.2015
12.5,12.2015
13.0,01.2016
11.1,02.2016
8.7,03.2016
8.1,04.2016
7.7,05.2016
2.9,06.2016
3.8,07.2016
5.9,08.2016
7.9,09.2016
8.9,10.2016
10.5,11.2016
16.8,12.2016
14.6,01.2017
14.8,02.2017
14.2,03.2017
11.5,04.2017
9.5,05.2017
5.4,06.2017
4.1,07.2017
8.0,08.2017
6.8,09.2017
9.6,10.2017
14.5,11.2017
13.0,12.2017
11.8,01.2018
15.2,02.2018
14.1,03.2018
10.9,04.2018
3.9,05.2018
4.3,06.2018
6.7,07.2018
5.9,08.2018
5.4,09.2018
8.5,10.2018
11.8,11.2018
11.4,12.2018
12.4,01.2019
17.1,02.2019
11.2,03.2019
7.7,04.2019
8.6,05.2019
4.0,06.2019
3.1,07.2019
7.6,08.2019
6.8,09.2019
11.1,10.2019
9.8,11.2019
11.1,12.2019
13.8,01.2020
12.2,02.2020
12.8,03.2020
9.1,04.2020
9.3,05.2020
1.6,06.2020
3.4,07.2020
7.4,08.2020
6.0,09.2020
10.2,10.2020
10.6,11.2020
11.2,12.2020
11.9,01.2021
15.1,02.2021
10.6,03.2021
9.4,04.2021
8.2,05.2021
4.7,06.2021
5.4,07.2021
3.5,08.2021
4.9,09.2021
10.1,10.2021
9.3,11.2021
17.1,12.2021
13.1,01.2022
13.3,02.2022
11.8,03.2022
11.8,04.2022
10.3,05.2022
8.3,06.2022
7.9,07.2022
4.1,08.2022
5.7,09.2022
8.1,10.2022
11.3,11.2022
16.8,12.2022
15.5,01.2023
13.7,02.2023
14.2,03.2023
8.1,04.2023
7.4,05.2023
7.8,06.2023
8.5,07.2023
10.5,08.2023
8.6,09.2023
8.6,10.2023
11.2,11.2023
11.9,12.2023
