OkPrecip,Date
0.04,05.2017
0.0,06.2017
0.04,07.2017
0.23,08.2017
0.12,09.2017
0.2,10.2017
0.0,11.2017
0.02,12.2017
0.01,01.2018
0.09,02.2018
0.02,03.2018
0.08,04.2018
0.14,05.2018
0.2,06.2018
0.07,07.2018
0.29,08.2018
0.28,09.2018
0.17,10.2018
0.02,11.2018
0.13,12.2018
0.06,01.2019
0.03,02.2019
0.09,03.2019
0.21,04.2019
0.4,05.2019
0.23,06.2019
0.0,07.2019
0.23,08.2019
0.07,09.2019
0.11,10.2019
0.03,11.2019
0.02,12.2019
0.1,01.2020
0.02,02.2020
0.16,03.2020
0.07,04.2020
0.13,05.2020
0.12,06.2020
0.21,07.2020
0.11,08.2020
0.09,09.2020
0.15,10.2020
0.01,11.2020
0.09,12.2020
0.05,01.2021
0.02,02.2021
0.05,03.2021
0.11,04.2021
0.18,05.2021
0.25,06.2021
0.07,07.2021
0.11,08.2021
0.02,09.2021
0.16,10.2021
0.01,11.2021
0.01,12.2021
0.01,01.2022
0.05,02.2022
0.06,03.2022
0.05,04.2022
0.24,05.2022
0.11,06.2022
0.01,07.2022
0.07,08.2022
0.06,09.2022
0.07,10.2022
0.06,11.2022
0.07,12.2022
0.03,01.2023
0.05,02.2023
0.1,03.2023
0.12,04.2023
0.21,05.2023
0.11,06.2023
0.28,07.2023
0.02,08.2023
0.08,09.2023
0.13,10.2023
0.05,11.2023
0.06,12.2023
