PrecipDiff,Date
0.02,11.1967
0.02,12.1967
0.12,01.1968
0.04,02.1968
0.17,03.1968
0.01,04.1968
0.05,05.1968
0.04,06.1968
-0.06,07.1968
-0.12,08.1968
-0.12,09.1968
-0.03,10.1968
0.07,11.1968
0.0,12.1968
0.03,01.1969
0.02,02.1969
0.06,03.1969
-0.03,04.1969
0.12,05.1969
-0.21,06.1969
-0.18,07.1969
0.05,08.1969
-0.01,09.1969
0.1,10.1969
0.04,11.1969
0.05,12.1969
0.01,01.1970
0.16,02.1970
0.02,03.1970
0.01,04.1970
0.07,05.1970
-0.2,06.1970
0.01,07.1970
0.14,08.1970
0.08,09.1970
0.04,10.1970
0.01,11.1970
0.01,12.1970
-0.02,01.1971
-0.01,02.1971
0.01,03.1971
0.01,04.1971
-0.04,05.1971
-0.06,06.1971
-0.09,07.1971
0.13,08.1971
0.05,09.1971
0.07,10.1971
-0.02,11.1971
0.2,12.1971
0.04,01.1972
0.0,02.1972
-0.02,03.1972
0.0,04.1972
0.0,05.1972
-0.02,06.1972
-0.1,07.1972
-0.08,08.1972
0.04,09.1972
0.16,10.1972
-0.02,11.1972
-0.01,12.1972
0.02,01.1973
0.03,02.1973
-0.23,03.1973
0.07,04.1973
0.08,05.1973
0.16,06.1973
0.16,07.1973
-0.02,08.1973
-0.08,09.1973
0.11,10.1973
0.04,11.1973
-0.06,12.1973
0.04,01.1974
0.03,02.1974
-0.05,03.1974
-0.06,04.1974
0.04,05.1974
0.09,06.1974
0.02,07.1974
0.01,08.1974
0.16,09.1974
0.08,10.1974
0.02,11.1974
-0.01,12.1974
0.07,01.1975
0.05,02.1975
-0.01,03.1975
0.06,04.1975
-0.06,05.1975
-0.16,06.1975
0.16,07.1975
-0.08,08.1975
-0.01,09.1975
,10.1975
-0.09,11.1975
0.03,12.1975
0.0,01.1976
0.01,02.1976
0.02,03.1976
0.0,04.1976
0.1,05.1976
-0.05,06.1976
-0.08,07.1976
0.14,08.1976
0.1,09.1976
0.05,10.1976
0.02,11.1976
0.06,12.1976
0.06,01.1977
0.06,02.1977
0.14,03.1977
0.03,04.1977
-0.26,05.1977
-0.09,06.1977
-0.06,07.1977
-0.12,08.1977
-0.08,09.1977
0.06,10.1977
-0.02,11.1977
0.0,12.1977
0.03,01.1978
0.06,02.1978
0.02,03.1978
-0.05,04.1978
0.19,05.1978
-0.08,06.1978
-0.04,07.1978
-0.01,08.1978
-0.09,09.1978
0.02,10.1978
0.02,11.1978
0.01,12.1978
0.06,01.1979
0.04,02.1979
0.06,03.1979
0.02,04.1979
0.09,05.1979
-0.17,06.1979
-0.01,07.1979
0.06,08.1979
-0.02,09.1979
0.01,10.1979
-0.06,11.1979
0.03,12.1979
0.02,01.1980
0.0,02.1980
-0.09,03.1980
0.03,04.1980
0.01,05.1980
0.0,06.1980
0.0,07.1980
,08.1980
0.2,09.1980
-0.01,10.1980
0.02,11.1980
-0.02,12.1980
0.01,01.1981
0.04,02.1981
0.04,03.1981
0.08,04.1981
0.0,05.1981
0.12,06.1981
0.02,07.1981
-0.02,08.1981
0.0,09.1981
0.31,10.1981
-0.05,11.1981
0.0,12.1981
0.03,01.1982
0.04,02.1982
-0.01,03.1982
0.07,04.1982
0.19,05.1982
-0.14,06.1982
0.07,07.1982
-0.03,08.1982
-0.02,09.1982
0.1,10.1982
0.12,11.1982
0.04,12.1982
0.03,01.1983
0.0,02.1983
0.0,03.1983
-0.11,04.1983
0.06,05.1983
-0.18,06.1983
-0.07,07.1983
0.14,08.1983
-0.07,09.1983
0.03,10.1983
-0.01,11.1983
-0.01,12.1983
0.02,01.1984
0.07,02.1984
-0.08,03.1984
-0.07,04.1984
0.06,05.1984
0.01,06.1984
0.0,07.1984
0.03,08.1984
-0.07,09.1984
0.12,10.1984
0.05,11.1984
0.05,12.1984
0.02,01.1985
0.02,02.1985
0.07,03.1985
0.05,04.1985
0.01,05.1985
-0.03,06.1985
-0.05,07.1985
-0.07,08.1985
-0.09,09.1985
-0.05,10.1985
0.05,11.1985
0.0,12.1985
,01.1986
0.04,02.1986
-0.01,03.1986
0.12,04.1986
0.08,05.1986
-0.05,06.1986
-0.1,07.1986
-0.14,08.1986
0.02,09.1986
-0.06,10.1986
0.09,11.1986
0.04,12.1986
-0.01,01.1987
0.01,02.1987
-0.08,03.1987
-0.02,04.1987
-0.07,05.1987
-0.03,06.1987
-0.01,07.1987
-0.22,08.1987
-0.02,09.1987
-0.03,10.1987
0.09,11.1987
0.02,12.1987
0.01,01.1988
0.03,02.1988
-0.02,03.1988
-0.08,04.1988
-0.01,05.1988
0.05,06.1988
0.05,07.1988
-0.03,08.1988
0.11,09.1988
0.02,10.1988
0.05,11.1988
0.06,12.1988
0.05,01.1989
0.12,02.1989
0.04,03.1989
0.05,04.1989
0.15,05.1989
0.02,06.1989
-0.05,07.1989
-0.12,08.1989
-0.17,09.1989
0.06,10.1989
,11.1989
0.0,12.1989
0.09,01.1990
0.09,02.1990
0.1,03.1990
0.2,04.1990
0.19,05.1990
0.0,06.1990
0.02,07.1990
0.02,08.1990
-0.03,09.1990
0.07,10.1990
0.06,11.1990
0.02,12.1990
0.07,01.1991
,02.1991
0.02,03.1991
0.04,04.1991
0.09,05.1991
0.1,06.1991
0.04,07.1991
-0.1,08.1991
0.08,09.1991
0.27,10.1991
-0.05,11.1991
0.21,12.1991
0.08,01.1992
0.06,02.1992
-0.02,03.1992
0.03,04.1992
0.11,05.1992
-0.07,06.1992
-0.07,07.1992
0.01,08.1992
0.01,09.1992
0.01,10.1992
-0.04,11.1992
0.1,12.1992
0.02,01.1993
0.13,02.1993
0.04,03.1993
0.05,04.1993
-0.25,05.1993
-0.02,06.1993
-0.2,07.1993
-0.02,08.1993
0.05,09.1993
0.11,10.1993
0.03,11.1993
0.07,12.1993
0.05,01.1994
0.06,02.1994
0.04,03.1994
-0.01,04.1994
0.16,05.1994
-0.02,06.1994
-0.04,07.1994
0.09,08.1994
0.01,09.1994
0.15,10.1994
0.1,11.1994
0.05,12.1994
0.06,01.1995
0.01,02.1995
0.14,03.1995
0.12,04.1995
0.05,05.1995
-0.22,06.1995
-0.03,07.1995
-0.15,08.1995
-0.02,09.1995
0.01,10.1995
0.02,11.1995
0.05,12.1995
0.03,01.1996
0.01,02.1996
0.02,03.1996
0.02,04.1996
-0.11,05.1996
0.04,06.1996
-0.01,07.1996
-0.01,08.1996
-0.08,09.1996
0.15,10.1996
0.06,11.1996
0.02,12.1996
0.0,01.1997
0.18,02.1997
0.06,03.1997
0.09,04.1997
-0.02,05.1997
-0.01,06.1997
-0.14,07.1997
-0.04,08.1997
-0.05,09.1997
0.07,10.1997
-0.01,11.1997
0.13,12.1997
0.13,01.1998
0.11,02.1998
0.0,03.1998
-0.07,04.1998
0.03,05.1998
0.05,06.1998
-0.17,07.1998
-0.04,08.1998
-0.09,09.1998
-0.12,10.1998
0.05,11.1998
0.11,12.1998
0.01,01.1999
0.01,02.1999
0.03,03.1999
-0.11,04.1999
-0.01,05.1999
-0.22,06.1999
-0.09,07.1999
,08.1999
-0.28,09.1999
0.06,10.1999
-0.04,11.1999
-0.05,12.1999
0.02,01.2000
0.02,02.2000
-0.1,03.2000
0.1,04.2000
0.0,05.2000
-0.03,06.2000
,07.2000
0.0,08.2000
-0.02,09.2000
-0.02,10.2000
0.2,11.2000
0.11,12.2000
0.03,01.2001
0.08,02.2001
0.1,03.2001
-0.02,04.2001
0.08,05.2001
-0.1,06.2001
0.08,07.2001
0.03,08.2001
0.02,09.2001
0.03,10.2001
0.02,11.2001
0.1,12.2001
0.12,01.2002
0.0,02.2002
0.23,03.2002
0.1,04.2002
-0.01,05.2002
-0.08,06.2002
0.04,07.2002
-0.11,08.2002
0.02,09.2002
-0.06,10.2002
0.01,11.2002
0.09,12.2002
0.01,01.2003
0.04,02.2003
-0.08,03.2003
-0.08,04.2003
-0.02,05.2003
0.03,06.2003
-0.02,07.2003
-0.16,08.2003
-0.02,09.2003
-0.07,10.2003
0.11,11.2003
0.0,12.2003
0.04,01.2004
0.09,02.2004
-0.06,03.2004
-0.01,04.2004
0.03,05.2004
0.08,06.2004
-0.09,07.2004
0.07,08.2004
0.01,09.2004
0.07,10.2004
0.08,11.2004
0.01,12.2004
0.04,01.2005
-0.01,02.2005
0.01,03.2005
-0.01,04.2005
0.05,05.2005
-0.2,06.2005
-0.12,07.2005
-0.31,08.2005
0.03,09.2005
-0.04,10.2005
0.0,11.2005
-0.01,12.2005
0.07,01.2006
,02.2006
0.07,03.2006
-0.01,04.2006
-0.16,05.2006
-0.2,06.2006
-0.01,07.2006
-0.17,08.2006
0.07,09.2006
0.11,10.2006
0.07,11.2006
0.06,12.2006
0.14,01.2007
0.0,02.2007
-0.06,03.2007
0.0,04.2007
0.14,05.2007
0.09,06.2007
0.05,07.2007
-0.11,08.2007
0.15,09.2007
-0.03,10.2007
0.04,11.2007
0.0,12.2007
0.0,01.2008
0.03,02.2008
0.1,03.2008
0.07,04.2008
-0.35,05.2008
-0.22,06.2008
-0.09,07.2008
-0.01,08.2008
-0.4,09.2008
-0.06,10.2008
0.1,11.2008
-0.03,12.2008
0.03,01.2009
0.01,02.2009
0.11,03.2009
-0.21,04.2009
0.05,05.2009
-0.02,06.2009
-0.04,07.2009
-0.08,08.2009
0.05,09.2009
0.14,10.2009
0.04,11.2009
0.05,12.2009
0.08,01.2010
0.06,02.2010
0.06,03.2010
0.04,04.2010
-0.17,05.2010
-0.11,06.2010
0.01,07.2010
-0.13,08.2010
0.2,09.2010
0.02,10.2010
0.01,11.2010
0.07,12.2010
0.04,01.2011
-0.02,02.2011
-0.03,03.2011
0.03,04.2011
0.18,05.2011
-0.07,06.2011
-0.05,07.2011
-0.08,08.2011
-0.01,09.2011
0.04,10.2011
-0.08,11.2011
0.02,12.2011
0.2,01.2012
-0.06,02.2012
0.06,03.2012
-0.03,04.2012
-0.02,05.2012
0.0,06.2012
0.02,07.2012
-0.01,08.2012
-0.03,09.2012
0.02,10.2012
-0.02,11.2012
0.05,12.2012
0.11,01.2013
-0.03,02.2013
0.0,03.2013
-0.05,04.2013
-0.07,05.2013
0.01,06.2013
-0.18,07.2013
-0.3,08.2013
0.02,09.2013
0.0,10.2013
0.05,11.2013
0.07,12.2013
0.01,01.2014
-0.02,02.2014
0.03,03.2014
0.04,04.2014
-0.02,05.2014
-0.24,06.2014
-0.07,07.2014
0.06,08.2014
-0.02,09.2014
0.02,10.2014
0.05,11.2014
0.0,12.2014
0.08,01.2015
0.09,02.2015
0.07,03.2015
0.1,04.2015
0.17,05.2015
0.06,06.2015
-0.21,07.2015
-0.2,08.2015
0.0,09.2015
0.29,10.2015
0.19,11.2015
0.05,12.2015
0.02,01.2016
0.06,02.2016
0.04,03.2016
-0.06,04.2016
-0.03,05.2016
0.03,06.2016
-0.18,07.2016
-0.13,08.2016
-0.35,09.2016
-0.01,10.2016
0.1,11.2016
0.0,12.2016
0.05,01.2017
0.05,02.2017
-0.08,03.2017
-0.13,04.2017
-0.12,05.2017
0.13,06.2017
0.07,07.2017
0.07,08.2017
-0.06,09.2017
-0.05,10.2017
0.01,11.2017
0.15,12.2017
0.02,01.2018
0.39,02.2018
0.05,03.2018
-0.03,04.2018
-0.09,05.2018
-0.07,06.2018
-0.14,07.2018
0.0,08.2018
0.33,09.2018
0.31,10.2018
0.0,11.2018
0.09,12.2018
0.01,01.2019
0.02,02.2019
-0.02,03.2019
0.15,04.2019
-0.15,05.2019
-0.07,06.2019
-0.01,07.2019
-0.19,08.2019
,09.2019
0.04,10.2019
0.04,11.2019
-0.02,12.2019
0.08,01.2020
0.06,02.2020
0.13,03.2020
-0.04,04.2020
0.1,05.2020
0.12,06.2020
-0.08,07.2020
0.01,08.2020
0.08,09.2020
-0.01,10.2020
0.01,11.2020
0.05,12.2020
-0.06,01.2021
0.07,02.2021
-0.06,03.2021
0.12,04.2021
0.12,05.2021
-0.14,06.2021
0.01,07.2021
0.1,08.2021
-0.09,09.2021
-0.06,10.2021
0.08,11.2021
0.01,12.2021
0.0,01.2022
0.04,02.2022
-0.06,03.2022
0.05,04.2022
-0.32,05.2022
-0.05,06.2022
,07.2022
0.31,08.2022
-0.01,09.2022
0.11,10.2022
0.11,11.2022
0.05,12.2022
0.0,01.2023
0.09,02.2023
0.09,03.2023
0.08,04.2023
-0.02,05.2023
-0.13,06.2023
-0.13,07.2023
,08.2023
-0.01,09.2023
0.12,10.2023
-0.08,11.2023
0.02,12.2023
